model_family,model_size,experiment_type,seed,step,k,sparsity,learning_rate,iteration_num
Qwen,1.5B,SFT,9999,66,1,98.03470130960191,3e-06,1
Qwen,1.5B,SFT,9999,67,1,98.0572135710417,3e-06,1
Qwen,1.5B,SFT,9999,68,1,98.08212031699875,3e-06,1
Qwen,1.5B,SFT,9999,69,1,98.11307999643955,3e-06,1
Qwen,1.5B,SFT,9999,70,1,98.13285470470059,3e-06,1
Qwen,1.5B,SFT,9999,71,1,98.14832596122656,3e-06,1
Qwen,1.5B,SFT,9999,72,1,98.16503034748068,3e-06,1
Qwen,1.5B,SFT,9999,73,1,98.20305247362661,3e-06,1
Qwen,1.5B,SFT,9999,74,1,98.24101422590692,3e-06,1
Qwen,1.5B,SFT,9999,75,1,98.26038076278654,3e-06,1
Qwen,1.5B,SFT,9999,76,1,98.25019578234082,3e-06,1
Qwen,1.5B,SFT,9999,77,1,98.24341428140319,3e-06,1
Qwen,1.5B,SFT,9999,78,1,98.2381487345472,3e-06,1
Qwen,1.5B,SFT,9999,79,1,98.23232019491607,3e-06,1
Qwen,1.5B,SFT,9999,80,1,98.23444416305675,3e-06,1
Qwen,1.5B,SFT,9999,81,1,98.23056883458146,3e-06,1
Qwen,1.5B,SFT,9999,82,1,98.24664901207004,3e-06,1
Qwen,1.5B,SFT,9999,83,1,98.26186601170471,3e-06,1
Qwen,1.5B,SFT,9999,84,1,98.27006811229236,3e-06,1
Qwen,1.5B,SFT,9999,85,1,98.26693016119128,3e-06,1
Qwen,1.5B,SFT,9999,86,1,98.27390437913569,3e-06,1
Qwen,1.5B,SFT,9999,87,1,98.27759055343961,3e-06,1
